SMILES,True
COc1ccc2c(c1)C(CC#N)=CCC2,-3.193820026016113
O=C(N[C@H](C(=O)O)C1CCCCC1)OCc1ccccc1,-5.698970004336019
CCOC(=O)CC1C=CCC1,2.146128035678238
C/C=C/c1ccc(OCc2ccccc2)c(OC)c1,-2.4383024673460065
COCc1ccc(COC)cc1,0.1522883443830564
C1CCC2=NCCCN2CC1,0.4771212547196624
CCOC(=O)C(C)C,3.604118006192035
C=CCOC(=O)COc1ccccc1,1.0
CCN(CC)C(=S)SSC(=S)N(CC)CC,-3.5686362358410126
NCCCn1ccnc1,-0.6989700043360187
CC(C)=CC1CC(C)CCO1,1.8864907251724816
O=C(CCCCCCCCCCC(=O)OCCOc1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)c(O)c1)OCCOc1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)c(O)c1,-7.094204119632131
O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F,3.969322706112202
Clc1ncnc2[nH]ccc12,-3.739928612014925
CCCCOC(=O)CCC,2.2764618041732443
BrCBr,3.6720978579357175
O=C1NCCN1CCO,-2.886056647693163
O=C(O)C(F)(F)OC1(F)OC(F)(F)OC1(F)OC(F)(F)F,1.414973347970818
O=S(=O)(O)C(F)(F)F,2.505149978319906
O=C1NC(=O)C2CCCC12,-1.5086383061657274
CC(C#N)NC=O,0.3617278360175928
O=C(O)c1ccccn1,-1.5512936800949202
CCCCCCCCCCCCCCCCCCCCCCOC(=O)c1ccc(O)cc1,-3.795880017344075
C=CC(=O)OCC1CC2CC1C1CCCC21,-2.283996656365201
CCCCCCCC(=O)SCCC[Si](OCC)(OCC)OCC,-2.6989700043360187
CC(C)(C=NCCCCCCN=CC(C)(C)CN1CCOCC1)CN1CCOCC1,-2.25649023527157
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,-9.308918507877031
C1=C[C@H]2C[C@@H]1[C@H]1Cc3ccccc3[C@H]12,1.6434526764861874
Cc1ccc(C(=O)CC(=O)C(F)(F)F)cc1,0.2304489213782739
OCC1CCCO1,2.214843848047698
CC(C)(C)c1ccc(OCC2CO2)cc1,-1.5072396109731625
CC1(C)CC(OC(=O)OC2CC(C)(C)N(Sc3ccccc3)C(C)(C)C2)CC(C)(C)N1Sc1ccccc1,-7.487449007095789
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCCCS,-0.3467874862246563
O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1,-6.031517051446065
C[C@@H]1[C@@H](CN)C[C@H]2C[C@@H]1C2(C)C,1.1139433523068367
Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,-0.5228787452803376
COC(=O)C(Br)CBr,2.3010299956639813
CCc1ccc(-c2ccc(-c3ccc(CO)cc3)c(F)c2)cc1,-7.136677139879544
CCCCCCCCCCCCCCCCN,-1.9393021596463884
N[C@@H](COP(=O)(O)O)C(=O)O,-4.745693667668714
CCc1ncc[nH]1,-1.0705810742857078
CC(C)(C)C(=O)OCCc1ccccc1,0.1925674533365456
CC(C)C=NCC1CCCC(CN=CC(C)C)C1,1.7993405494535817
O[C@@H](CS)[C@@H](O)CS,-1.5086383061657274
CC1=CCC(CC#N)C1(C)C,1.9395192526186185
CC(=O)OCCOc1ccc(C(C)(C)c2ccc(OCCOC(C)=O)cc2)cc1,-7.455931955649724
CC(C)Nc1ccc(NC(C)C)c2c1C(=O)c1ccccc1C2=O,-8.27083521030723
O=C(CCCl)c1ccc(Br)cc1,-1.7958800173440752
C=CC1(C)CCC(C(C)(C)O)O1,2.322219294733919
CC(=O)CC(=O)Nc1ccccc1C,-3.8538719643217614
O=C1CCC(C2CCC(c3ccc(F)c(F)c3)CC2)CC1,-3.619788758288575
O=C1CCCCCCCCCCC(=O)OCCO1,-1.5528419686577808
CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,-4.301029995663981
C=CC(O)C(=O)OC,2.089905111439398
CC1=NN(c2ccccc2)C(=O)C1N=Nc1ccccc1,-5.886056647693163
CC(C)C(=O)c1ccccc1,1.1613680022349748
CC1(C)COP(=S)(OP2(=S)OCC(C)(C)CO2)OC1,-5.468521082957745
CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,2.4866146430072025
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,-4.769551078621726
CCO[Si](C)(CCCOCC1CO1)OCC,-0.3767507096020995
CCCCCCCCCCCC(=O)OCC(C)(C)C=NCCCCCCN=CC(C)(C)COC(=O)CCCCCCCCCCC,-2.896196279044043
NCCCNCCN,0.7781512503836436
COC1CCCCCCCCCCC1,0.8976270912904415
C=COC(=O)CC,3.7363965022766426
O=S(=O)(Nc1ccc(O)cc1)c1ccccc1,-6.958607314841775
CCOC1C(C)CCCC1C,2.534026106056135
CCOC(=O)C1CC(=O)NN1c1ncccc1Cl,-4.61261017366127
Cc1ccc2c(c1)NCCO2,0.021189299069938
C=CCOC(=O)C(C)(C)O,2.146128035678238
C=COC1CCCCC1,2.7634279935629373
CCOC(=O)C1CCC(C)CC1=O,1.4440447959180762
CC(=O)OCCC(C)(C)O,1.0413926851582251
CCN1CCCCCC1=O,0.9444826721501688
CN(CCO[N+](=O)[O-])[N+](=O)[O-],-1.593459819566045
CC(=O)C1CCc2cc(F)ccc2O1,-0.4202164033831898
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-4.6777807052660805
COC(=O)c1ccc(O)cc1,-4.259637310505756
CO[C@H]1OC[C@@H]2OC(=O)C[C@H]12,-1.3233063903751334
O=[N+]([O-])c1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,-1.0
CC1CCC(=O)CC1,2.598790506763115
CCCC1CCC(c2ccc(OCC)c(F)c2F)CC1,-3.5686362358410126
C=CC(CC)CO,2.1760912590556813
CC(C)COC(=O)C(C)C,2.4899584794248346
COC(=O)C(=Cc1ccc(OC)cc1)C(=O)OC,-3.283996656365201
C=C(Cl)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.9294189257142929
CCCCCCCC/C=C\CCCCCCCC(=O)NCC(C)O,-5.616184634019569
CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,-3.9208187539523753
CCCCOC(N)=O,2.515873843711679
CC(C)(C=NCC1(C)CC(N=CC(C)(C)CN2CCOCC2)CC(C)(C)C1)CN1CCOCC1,-1.9665762445130504
CC1(C)CC(NCCC#N)CC(C)(CNCCC#N)C1,-3.376750709602203
CC(=O)CC(=O)Nc1ccc(C)cc1C,-4.031517051446065
C=CCC#CCCCCC,2.130333768495006
c1ccc(C2CC3C4CC(c5ccccc5OCC5CO5)C(C4)C3C2)c(OCC2CO2)c1,-3.369572124974976
Fc1ccc(C2=CCC(C3CCC4(CC3)OCCO4)CC2)cc1F,-4.958607314841775
CC(C)(/C=N/C1CCC(CC2CCC(/N=C/C(C)(C)CN3CCOCC3)CC2)CC1)CN1CCOCC1,-2.0589857562944305
COc1ccc(CN2CCNCC2)c(OC)c1OC,-2.6020599913279625
NP(N)(=O)Oc1ccccc1,-2.7825160557860937
Cc1ccc(C(N)=O)c(O)c1,-3.769551078621726
CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O,0.5563025007672873
CC(=O)CO,2.954724790979063
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,-5.590066876668706
CC1(C)CC2(CC(C)(C)N1)OC1(CCCCCCCCCCC1)NC2=O,-6.920818753952375
CC(C)CC(C)c1ccccc1N,-1.744727494896694
CCCC1CCC(C2CCC(OC)CC2)CC1,-1.431798275933005
O=P(Cl)(Cl)Oc1ccccc1,0.367355921026019
S=C1NCCN1,-4.619788758288394
O=S1(=O)CS(=O)(=O)OCO1,-2.4436974992327127
CCN(C)C,0.1461280356782379
OC(Cn1ccnc1)c1ccc(Cl)cc1Cl,-6.55129368009492
CCOC(=O)c1nn(-c2ccc(OC)cc2)c2c1CCN(c1ccc([N+](=O)[O-])cc1)C2=O,-7.585026652029182
CCC(C)(C)C(=O)OC1=C(c2ccc(Cl)cc2Cl)C(=O)OC12CCCCC2,-6.186419011431808
CC(C)(C)N(CCO)CCO,-0.4436974992327127
ICCCI,2.59659709562646
O=C(OCC1CO1)C1CC=CCC1C(=O)OCC1CO1,-3.958607314841775
